RUN	crypt.BasicSimulation	basicsimulation	1622289068908	 	3.6.0
USER	Scenario Name	START	1622289070517
REQUEST		request_1	1622289070556	1622289070583	OK	 
REQUEST		request_1 Redirect 1	1622289070606	1622289070612	OK	 
REQUEST		request_2	1622289077620	1622289077625	OK	 
REQUEST		request_3	1622289079626	1622289079631	OK	 
REQUEST		request_4	1622289082632	1622289082636	OK	 
REQUEST		request_4 Redirect 1	1622289082637	1622289082641	OK	 
REQUEST		request_5	1622289084642	1622289084647	OK	 
REQUEST		request_6	1622289085318	1622289085323	OK	 
REQUEST		request_7	1622289085954	1622289085958	OK	 
REQUEST		request_8	1622289086693	1622289086697	OK	 
REQUEST		request_9	1622289091699	1622289091703	OK	 
REQUEST		request_10	1622289092711	1622289092717	OK	 
REQUEST		request_10 Redirect 1	1622289092726	1622289092729	OK	 
USER	Scenario Name	END	1622289092732
